# run         dr         AoA         AoS         pTaps0         pTaps1         pTaps2         pTaps3         pTaps4         pTaps5         CpTaps0         CpTaps1         CpTaps2         CpTaps3         CpTaps4         CpTaps5
  34.00000    0.00000    0.00400    4.99500 -106.75000  -93.68000  -75.97000  -49.90000  -10.90000  -27.50000   -0.17745   -0.16405   -0.14589   -0.11916   -0.07916   -0.09619
  35.00000    0.00000    0.00400    4.99500  -97.34000  -89.42000  -76.31000  -54.89000  -20.45000  -35.73000   -0.17133   -0.16320   -0.14975   -0.12778   -0.09245   -0.10812
  36.00000    0.00000    0.00400    4.99500  -94.43000  -88.19000  -76.59000  -56.72000  -24.21000  -38.72000   -0.16948   -0.16308   -0.15117   -0.13077   -0.09740   -0.11230
  37.00000    0.00000    0.00400    4.99500  -90.51000  -86.30000  -76.49000  -58.47000  -27.75000  -41.82000   -0.16696   -0.16264   -0.15258   -0.13411   -0.10261   -0.11704
  38.00000    0.00000    4.99500    4.99500  -91.13000  -74.19000  -55.00000  -24.16000   22.21000    1.16000   -0.16212   -0.14474   -0.12505   -0.09340   -0.04582   -0.06742
  39.00000    0.00000    4.99500    4.99500  -84.12000  -72.10000  -57.54000  -31.38000   10.50000   -9.58000   -0.15570   -0.14337   -0.12842   -0.10158   -0.05860   -0.07921
  40.00000    0.00000    4.99500    4.99500  -81.39000  -70.98000  -57.94000  -33.36000    6.84000  -12.79000   -0.15387   -0.14318   -0.12980   -0.10457   -0.06330   -0.08345
  41.00000    0.00000    4.99500    4.99500  -78.04000  -69.53000  -58.36000  -35.65000    2.69000  -16.56000   -0.15135   -0.14262   -0.13116   -0.10785   -0.06850   -0.08826
  42.00000    0.00000    0.00500   10.00000 -132.89000 -117.93000  -98.32000  -63.94000  -28.87000  -42.91000   -0.20954   -0.19419   -0.17407   -0.13878   -0.10279   -0.11720
  43.00000    0.00000    0.00500   10.00000 -123.08000 -112.81000  -98.13000  -68.83000  -39.15000  -51.56000   -0.20275   -0.19221   -0.17714   -0.14706   -0.11659   -0.12933
  44.00000    0.00000    0.00500   10.00000 -119.46000 -110.81000  -97.68000  -70.32000  -42.63000  -54.42000   -0.20058   -0.19169   -0.17821   -0.15011   -0.12168   -0.13379
  45.00000    0.00000    0.00500   10.00000 -116.41000 -109.41000  -98.27000  -73.03000  -47.79000  -58.69000   -0.19782   -0.19063   -0.17918   -0.15324   -0.12730   -0.13850
  46.00000    0.00000    4.99500   10.00000 -124.12000 -113.37000  -97.62000  -62.83000   -8.67000  -36.17000   -0.19912   -0.18808   -0.17190   -0.13618   -0.08056   -0.10880
  47.00000    0.00000    4.99500   10.00000 -112.14000 -105.09000  -93.87000  -64.44000  -16.76000  -42.11000   -0.19101   -0.18377   -0.17226   -0.14205   -0.09311   -0.11913
  48.00000    0.00000    4.99500   10.00000 -108.82000 -103.06000  -93.39000  -65.76000  -20.44000  -44.80000   -0.18847   -0.18256   -0.17264   -0.14429   -0.09779   -0.12279
  49.00000    0.00000    4.99500   10.00000 -106.28000 -102.05000  -94.18000  -68.61000  -26.22000  -49.50000   -0.18566   -0.18132   -0.17324   -0.14701   -0.10352   -0.12740
  50.00000  -10.00000    0.00400   -5.00000  -65.89000  -64.50000  -54.26000  -34.01000    2.60000  -15.36000   -0.19032   -0.18778   -0.16912   -0.13220   -0.06545   -0.09820
  51.00000  -10.00000    0.00400   -5.00000  -61.66000  -62.35000  -54.36000  -36.67000   -3.12000  -20.03000   -0.18363   -0.18489   -0.17034   -0.13814   -0.07706   -0.10785
  52.00000  -10.00000    0.00400   -5.00000  -56.35000  -59.23000  -53.72000  -38.74000   -8.80000  -24.42000   -0.17573   -0.18097   -0.17094   -0.14369   -0.08921   -0.11763
  53.00000  -10.00000    0.00400   -5.00000  -52.82000  -57.31000  -53.64000  -40.85000  -13.71000  -28.31000   -0.17072   -0.17890   -0.17221   -0.14893   -0.09951   -0.12609
