  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     130	 17:23:18	   0.005	   0.000	  235.39	 1006.19	   13.90	  -367.3	  -131.5	   318.8	   382.4	  -436.7	    50.5	   0.000	   1.221	   549.9	    30.0	  338933	   92.00	   92.00	    7.96	    7.67	    0.00	  18.760	  18.216	  32.172	  32.751	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     131	 17:24:05	   0.005	   0.000	  235.39	 1006.19	   13.88	    34.4	  -129.7	   247.7	   311.0	  -104.4	    48.3	   0.000	   1.221	   549.9	    30.0	  338959	   83.99	   84.00	    5.42	    5.07	    0.00	  19.022	  18.461	  30.174	  31.467	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     132	 17:24:57	   0.005	   0.000	  235.39	 1006.15	   13.85	   439.1	  -132.6	   170.2	   235.7	   244.6	    49.8	   0.000	   1.221	   549.9	    30.0	  339000	   74.00	   74.00	    2.75	    2.58	    0.00	  18.909	  18.457	  28.703	  29.983	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     133	 17:25:33	   0.005	   0.000	  235.21	 1006.27	   13.83	   708.9	  -129.3	   115.8	   179.8	   481.9	    47.9	   0.000	   1.221	   549.5	    30.0	  338914	   66.00	   66.00	    1.15	    1.00	    0.00	  18.632	  18.281	  26.473	  27.938	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     134	 17:26:15	   4.995	   0.000	  235.44	 1006.29	   13.81	  -149.8	  -104.3	   866.3	   913.3	  -460.9	    50.7	   0.000	   1.222	   550.0	    30.0	  339128	   92.00	   92.00	    9.12	    8.62	    0.00	  18.376	  18.062	  27.765	  29.108	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     135	 17:26:59	   4.995	   0.000	  235.31	 1006.20	   13.74	   240.0	   -84.8	   799.2	   832.2	  -130.3	    46.8	   0.000	   1.222	   549.7	    30.0	  339122	   84.00	   84.00	    6.31	    5.68	    0.00	  18.430	  18.113	  26.339	  28.244	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     136	 17:27:49	   4.995	   0.000	  235.37	 1006.28	   13.70	   651.2	  -105.5	   709.6	   756.0	   229.7	    53.2	   0.000	   1.222	   549.9	    30.0	  339234	   74.00	   74.00	    3.14	    2.87	    0.00	  18.333	  18.081	  25.176	  26.854	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     137	 17:28:28	   4.995	   0.000	  235.22	 1006.21	   13.68	   920.0	  -106.2	   652.3	   699.8	   467.1	    52.0	   0.000	   1.222	   549.5	    30.0	  339143	   66.00	   66.00	    1.32	    1.14	    0.00	  18.070	  17.891	  23.408	  25.361	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
