  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     130	   0.005	   0.000	  0.2569	-0.035314	 0.01142	-0.05852	-0.035334	  0.2569	0.011416	-0.00148	-0.12276	-0.00197	-0.035314	-0.011416	0.256944	-0.00333	-0.11701	-0.00197	   -3.36	   -1.45	   33.76	   -0.59	   -2.12	   -0.35	  235.39	 1006.19	   13.90	   1.221	   549.9	   30.01	2.633E+5	   0.088
     131	   0.005	   0.000	  0.2525	-0.006226	 0.01138	-0.03492	-0.006246	  0.2525	0.011383	-0.00155	-0.09804	-0.00190	-0.006226	-0.011383	0.252462	-0.00340	-0.09703	-0.00190	    0.33	   -1.45	   33.19	   -0.61	   -1.70	   -0.34	  235.39	 1006.19	   13.88	   1.221	   549.9	   30.01	2.634E+5	   0.088
     132	   0.005	   0.000	  0.2462	0.023084	 0.01160	-0.00285	0.023064	  0.2462	0.011598	-0.00154	-0.06441	-0.00196	0.023084	-0.011598	0.246203	-0.00343	-0.06816	-0.00196	    4.06	   -1.47	   32.40	   -0.61	   -1.10	   -0.35	  235.39	 1006.15	   13.85	   1.221	   549.9	   30.01	2.634E+5	   0.088
     133	   0.005	   0.000	  0.2391	0.042664	 0.01137	 0.02063	0.042646	  0.2391	0.011365	-0.00158	-0.03914	-0.00189	0.042664	-0.011365	0.239052	-0.00343	-0.04608	-0.00189	    6.54	   -1.44	   31.46	   -0.61	   -0.64	   -0.34	  235.21	 1006.27	   13.83	   1.221	   549.5	   30.00	2.633E+5	   0.088
     134	   4.995	   0.000	  0.7697	-0.018244	 0.00799	-0.03871	-0.085198	  0.7652	0.007992	-0.00069	-0.23001	-0.00203	-0.018244	-0.007992	0.769715	-0.00217	-0.22704	-0.00198	   -1.37	   -1.02	   99.37	   -0.39	   -4.53	   -0.35	  235.44	 1006.29	   13.81	   1.222	   550.0	   30.01	2.635E+5	   0.088
     135	   4.995	   0.000	  0.7625	0.009992	 0.00591	-0.01104	-0.056445	  0.7605	0.005909	-0.00081	-0.20117	-0.00190	0.009992	-0.005909	0.762540	-0.00193	-0.20280	-0.00184	    2.22	   -0.75	   98.40	   -0.34	   -4.02	   -0.33	  235.31	 1006.20	   13.74	   1.222	   549.7	   30.00	2.635E+5	   0.088
     136	   4.995	   0.000	  0.7520	0.039773	 0.00787	 0.02451	-0.025856	  0.7526	0.007869	-0.00078	-0.16363	-0.00214	0.039773	-0.007869	0.751970	-0.00225	-0.17010	-0.00208	    6.00	   -1.00	   97.08	   -0.40	   -3.34	   -0.37	  235.37	 1006.28	   13.70	   1.222	   549.9	   30.00	2.636E+5	   0.088
     137	   4.995	   0.000	  0.7435	0.059282	 0.00807	 0.04854	-0.005688	  0.7459	0.008068	-0.00085	-0.13793	-0.00211	0.059282	-0.008068	0.743542	-0.00234	-0.14757	-0.00204	    8.47	   -1.02	   95.95	   -0.42	   -2.86	   -0.36	  235.22	 1006.21	   13.68	   1.222	   549.5	   29.99	2.635E+5	   0.088
